,ClusterCoefficient,Indegree,Outdegree,ClosenessCentrality,BetweennessCentrality,InOverOut,Activity
Anugregarn-tichondrius,0.0014966820167782436,72,72,0.27758514776734505,0.00010983824682034488,1.0,144
Leofa-emerald-dream,0.0006354898064285448,4,0,0.21206593782604957,0.0,inf,4
Retrô-uldum,0.00035598848305985666,272,925,0.28907245417672,0.002315589212772519,0.29405405405405405,1197
Alias-21391,0.0010323336294862124,0,45,0.0,0.0,0.0,45
Baiken-frostmane,0.001942746865858466,0,4,0.0,0.0,0.0,4
Deathdancer-wyrmrest-accord,0.0,0,1,0.0,0.0,0.0,1
Spacebunbob-nagrand,0.0,0,1,0.0,0.0,0.0,1
Typhias-thrall,0.0019530517453433126,0,2,0.0,0.0,0.0,2
Iâmthesenate-sargeras,0.0006741542976184421,10,28,0.24214992257856632,2.17548335584885e-05,0.35714285714285715,38
Petkick-sargeras,0.00034506842963945544,688,4,0.2956648566650144,0.0002834339266682025,172.0,692
Bgonethot-area-52,0.0008567000218936016,0,11,0.0,0.0,0.0,11
Frexorian-bleeding-hollow,0.0005135211217253041,103,128,0.26494632537172563,0.0008353252359032883,0.8046875,231
Nasrajin-spirestone,0.000561739903872082,287,980,0.2902373034786679,0.0019848289980245117,0.29285714285714287,1267
Kagrenac-1755,0.0011280758985696318,0,24,0.0,0.0,0.0,24
Boombasta-shuhalo,0.0007019314600892759,31,29,0.25444276177266334,7.321201485804768e-05,1.0689655172413792,60
Apollyon-nazgrel,0.0004667329718907216,1,2,0.21630917737013547,2.164913799812639e-07,0.5,3
Whitenoise-grobbulus,0.0006549761058424281,0,147,0.0,0.0,0.0,147
Alcoric-illidan,0.0005267164501744734,100,14,0.279163105886777,0.00011766256867860768,7.142857142857143,114
Etreinte-sargeras,0.0007403921738266061,135,248,0.2861545068023052,0.00048746982521627366,0.5443548387096774,383
ßlåck-sargeras,0.0009570091610382728,10,4,0.23630052106107874,7.534782779536927e-06,2.5,14
Vindi-korgath,0.0008485842812756917,259,204,0.28756780354131045,0.0008339573884779086,1.2696078431372548,463
Chinchy-arygos,0.00040230856820177235,1287,324,0.2990015418555452,0.00267828569506836,3.9722222222222223,1611
Gpy-illidan,0.0004568674457703535,289,18,0.2881814451599636,0.00028599176392314006,16.055555555555557,307
Angercure-llane,0.0009703251811244887,11,22,0.23715927173517878,7.245112907454744e-05,0.5,33
Aphrodîîte-zuljin,0.0011417923609456204,0,27,0.0,0.0,0.0,27
Triten-stormrage,0.0005178417386474207,34,69,0.2614555025851662,0.00018204175728606006,0.4927536231884058,103
Vais-proudmoore,0.0008603682951630124,89,17,0.2799830153802969,0.0001708292036434974,5.235294117647059,106
Domination-area-52,0.0003002718802703416,569,134,0.3005449306445254,0.002260635731646147,4.246268656716418,703
Dreaux-emerald-dream,0.0006210255690824141,168,70,0.2868044167519786,0.0006518850909151973,2.4,238
Barrador-velen,0.000655094966100673,6,1,0.2337387053159214,3.261002152245805e-07,6.0,7
Abcdefgeek-sargeras,0.0004771692706452649,0,128,0.0,0.0,0.0,128
niar13-2778,0.00022059565911279489,0,23,0.0,0.0,0.0,23
Haizack-nemesis,0.0014361021776989082,0,6,0.0,0.0,0.0,6
Ôblivion-drakkari,0.00028066207865200027,178,790,0.268479723365887,0.0024642186689944686,0.22531645569620254,968
Kcmo-gorgonnash,0.00035929224259075926,4,3,0.21605924231495713,2.8497289189255443e-05,1.3333333333333333,7
